Sample,Photo,Pixels,Area,Treatment,Time,Experiment
C1T0,C1T0_14,21,0.093,Control,Start,Control Start
C1T0,C1T0_14,49,0.218,Control,Start,Control Start
C1T0,C1T0_14,98,0.436,Control,Start,Control Start
C1T0,C1T0_14,134,0.596,Control,Start,Control Start
C1T0,C1T0_14,13,0.058,Control,Start,Control Start
C1T0,C1T0_14,51,0.227,Control,Start,Control Start
C1T0,C1T0_14,29,0.129,Control,Start,Control Start
C1T0,C1T0_14,368,1.636,Control,Start,Control Start
C1T0,C1T0_14,38,0.169,Control,Start,Control Start
C1T0,C1T0_14,98,0.436,Control,Start,Control Start
C1T0,C1T0_14,97,0.431,Control,Start,Control Start
C1T0,C1T0_14,10,0.044,Control,Start,Control Start
C1T0,C1T0_14,157,0.698,Control,Start,Control Start
C1T0,C1T0_14,60,0.267,Control,Start,Control Start
C1T0,C1T0_14,245,1.089,Control,Start,Control Start
C1T0,C1T0_14,24,0.107,Control,Start,Control Start
C1T0,C1T0_14,13,0.058,Control,Start,Control Start
C1T0,C1T0_14,17,0.076,Control,Start,Control Start
C1T0,C1T0_14,90,0.4,Control,Start,Control Start
C1T0,C1T0_14,48,0.213,Control,Start,Control Start
C1T0,C1T0_14,36,0.16,Control,Start,Control Start
C1T0,C1T0_14,33,0.147,Control,Start,Control Start
C1T0,C1T0_14,30,0.133,Control,Start,Control Start
C1T0,C1T0_14,86,0.382,Control,Start,Control Start
C1T0,C1T0_14,277,1.231,Control,Start,Control Start
C1T0,C1T0_14,23,0.102,Control,Start,Control Start
C1T0,C1T0_14,95,0.422,Control,Start,Control Start
C1T0,C1T0_14,179,0.796,Control,Start,Control Start
C1T0,C1T0_14,236,1.049,Control,Start,Control Start
C1T0,C1T0_14,129,0.573,Control,Start,Control Start
C1T0,C1T0_14,98,0.436,Control,Start,Control Start
C1T0,C1T0_14,37,0.164,Control,Start,Control Start
C1T0,C1T0_14,52,0.231,Control,Start,Control Start
C1T0,C1T0_14,16,0.071,Control,Start,Control Start
C1T0,C1T0_14,88,0.391,Control,Start,Control Start
C1T0,C1T0_14,31,0.138,Control,Start,Control Start
C1T0,C1T0_14,24,0.107,Control,Start,Control Start
C1T0,C1T0_14,22,0.098,Control,Start,Control Start
C1T0,C1T0_14,41,0.182,Control,Start,Control Start
C1T0,C1T0_14,78,0.347,Control,Start,Control Start
C1T0,C1T0_14,20,0.089,Control,Start,Control Start
C1T0,C1T0_14,171,0.76,Control,Start,Control Start
C1T0,C1T0_14,422,1.876,Control,Start,Control Start
C1T0,C1T0_14,117,0.52,Control,Start,Control Start
C1T0,C1T0_14,42,0.187,Control,Start,Control Start
C1T0,C1T0_14,43,0.191,Control,Start,Control Start
C1T0,C1T0_14,87,0.387,Control,Start,Control Start
C1T0,C1T0_14,61,0.271,Control,Start,Control Start
C1T0,C1T0_14,14,0.062,Control,Start,Control Start
C1T0,C1T0_14,21,0.093,Control,Start,Control Start
C1T0,C1T0_14,12,0.053,Control,Start,Control Start
C1T0,C1T0_14,20,0.089,Control,Start,Control Start
C1T0,C1T0_14,30,0.133,Control,Start,Control Start
C1T0,C1T0_14,21,0.093,Control,Start,Control Start
C1T0,C1T0_14,145,0.644,Control,Start,Control Start
C1T0,C1T0_14,64,0.284,Control,Start,Control Start
C1T0,C1T0_14,137,0.609,Control,Start,Control Start
C1T0,C1T0_14,20,0.089,Control,Start,Control Start
C1T0,C1T0_14,595,2.644,Control,Start,Control Start
C1T0,C1T0_14,107,0.476,Control,Start,Control Start
C1T0,C1T0_14,50,0.222,Control,Start,Control Start
C1T0,C1T0_14,16,0.071,Control,Start,Control Start
C1T0,C1T0_14,47,0.209,Control,Start,Control Start
C1T0,C1T0_14,29,0.129,Control,Start,Control Start
C1T0,C1T0_14,41,0.182,Control,Start,Control Start
C1T0,C1T0_14,116,0.516,Control,Start,Control Start
C1T0,C1T0_14,38,0.169,Control,Start,Control Start
C1T0,C1T0_14,53,0.236,Control,Start,Control Start
C1T0,C1T0_14,24,0.107,Control,Start,Control Start
C1T0,C1T0_14,342,1.52,Control,Start,Control Start
C1T0,C1T0_14,52,0.231,Control,Start,Control Start
C1T0,C1T0_14,34,0.151,Control,Start,Control Start
C1T0,C1T0_14,42,0.187,Control,Start,Control Start
C1T0,C1T0_14,66,0.293,Control,Start,Control Start
C1T0,C1T0_14,22,0.098,Control,Start,Control Start
C1T0,C1T0_14,81,0.36,Control,Start,Control Start
C1T0,C1T0_14,269,1.196,Control,Start,Control Start
C1T0,C1T0_14,227,1.009,Control,Start,Control Start
C1T0,C1T0_14,33,0.147,Control,Start,Control Start
C1T0,C1T0_14,117,0.52,Control,Start,Control Start
C1T0,C1T0_14,79,0.351,Control,Start,Control Start
C1T0,C1T0_14,201,0.893,Control,Start,Control Start
C1T0,C1T0_14,17,0.076,Control,Start,Control Start
C1T0,C1T0_14,32,0.142,Control,Start,Control Start
C1T0,C1T0_14,26,0.116,Control,Start,Control Start
C1T0,C1T0_14,37,0.164,Control,Start,Control Start
C1T0,C1T0_14,27,0.12,Control,Start,Control Start
C1T0,C1T0_14,28,0.124,Control,Start,Control Start
C1T0,C1T0_14,82,0.364,Control,Start,Control Start
C1T0,C1T0_13,412,1.831,Control,Start,Control Start
C1T0,C1T0_13,95,0.422,Control,Start,Control Start
C1T0,C1T0_13,66,0.293,Control,Start,Control Start
C1T0,C1T0_13,107,0.476,Control,Start,Control Start
C1T0,C1T0_13,37,0.164,Control,Start,Control Start
C1T0,C1T0_13,219,0.973,Control,Start,Control Start
C1T0,C1T0_13,79,0.351,Control,Start,Control Start
C1T0,C1T0_13,183,0.813,Control,Start,Control Start
C1T0,C1T0_13,54,0.24,Control,Start,Control Start
C1T0,C1T0_13,15,0.067,Control,Start,Control Start
C1T0,C1T0_13,89,0.396,Control,Start,Control Start
C1T0,C1T0_13,175,0.778,Control,Start,Control Start
C1T0,C1T0_13,37,0.164,Control,Start,Control Start
C1T0,C1T0_13,727,3.231,Control,Start,Control Start
C1T0,C1T0_13,180,0.8,Control,Start,Control Start
C1T0,C1T0_13,147,0.653,Control,Start,Control Start
C1T0,C1T0_13,199,0.884,Control,Start,Control Start
C1T0,C1T0_13,91,0.404,Control,Start,Control Start
C1T0,C1T0_13,261,1.16,Control,Start,Control Start
C1T0,C1T0_13,83,0.369,Control,Start,Control Start
C1T0,C1T0_13,55,0.244,Control,Start,Control Start
C1T0,C1T0_13,120,0.533,Control,Start,Control Start
C1T0,C1T0_13,46,0.204,Control,Start,Control Start
C1T0,C1T0_13,29,0.129,Control,Start,Control Start
C1T0,C1T0_13,435,1.933,Control,Start,Control Start
C1T0,C1T0_13,222,0.987,Control,Start,Control Start
C1T0,C1T0_13,63,0.28,Control,Start,Control Start
C1T0,C1T0_13,49,0.218,Control,Start,Control Start
C1T0,C1T0_13,12,0.053,Control,Start,Control Start
C1T0,C1T0_13,112,0.498,Control,Start,Control Start
C1T0,C1T0_13,90,0.4,Control,Start,Control Start
C1T0,C1T0_13,24,0.107,Control,Start,Control Start
C1T0,C1T0_13,17,0.076,Control,Start,Control Start
C1T0,C1T0_13,52,0.231,Control,Start,Control Start
C1T0,C1T0_13,23,0.102,Control,Start,Control Start
C1T0,C1T0_13,36,0.16,Control,Start,Control Start
C1T0,C1T0_13,75,0.333,Control,Start,Control Start
C1T0,C1T0_13,76,0.338,Control,Start,Control Start
C1T0,C1T0_13,353,1.569,Control,Start,Control Start
C1T0,C1T0_13,26,0.116,Control,Start,Control Start
C1T0,C1T0_13,57,0.253,Control,Start,Control Start
C1T0,C1T0_13,111,0.493,Control,Start,Control Start
C1T0,C1T0_13,194,0.862,Control,Start,Control Start
C1T0,C1T0_13,229,1.018,Control,Start,Control Start
C1T0,C1T0_13,24,0.107,Control,Start,Control Start
C1T0,C1T0_13,46,0.204,Control,Start,Control Start
C1T0,C1T0_13,131,0.582,Control,Start,Control Start
C1T0,C1T0_13,274,1.218,Control,Start,Control Start
C1T0,C1T0_13,24,0.107,Control,Start,Control Start
C1T0,C1T0_13,110,0.489,Control,Start,Control Start
C1T0,C1T0_13,165,0.733,Control,Start,Control Start
C1T0,C1T0_13,31,0.138,Control,Start,Control Start
C1T0,C1T0_13,174,0.773,Control,Start,Control Start
C1T0,C1T0_13,123,0.547,Control,Start,Control Start
C1T0,C1T0_13,45,0.2,Control,Start,Control Start
C1T0,C1T0_13,563,2.502,Control,Start,Control Start
C1T0,C1T0_13,142,0.631,Control,Start,Control Start
C1T0,C1T0_13,35,0.156,Control,Start,Control Start
C1T0,C1T0_13,66,0.293,Control,Start,Control Start
C1T0,C1T0_13,20,0.089,Control,Start,Control Start
C1T0,C1T0_13,421,1.871,Control,Start,Control Start
C1T0,C1T0_13,76,0.338,Control,Start,Control Start
C1T0,C1T0_13,40,0.178,Control,Start,Control Start
C1T0,C1T0_13,112,0.498,Control,Start,Control Start
C1T0,C1T0_13,250,1.111,Control,Start,Control Start
C1T0,C1T0_13,86,0.382,Control,Start,Control Start
